exam_id,exam_kind,subject_code,exam_num,exam_question,exam_division,exam_choice1,exam_choice2,exam_choice3,exam_choice4,exam_choice5,exam_answer,exam_content,insert_date
159,202004,ENG,19,"다음 글의 내용과 일치하지 않는 것은?  The earliest government food service programs began around 1900 in Europe. Programs in the United States date from the Great Depression, when the need to use surplus agricultural commodities was joined to concern for feeding the children of poor families. During and after World War II, the explosion in the number of working women fueled the need for a broader program. What was once a function of the family ―providing lunch ― was shifted to the school food service system. The National School Lunch Program is the result of these efforts. The program is designed to provide federally assisted meals to children of school age. From the end of World War II to the early 1980s, funding for school food service expanded steadily. Today it helps to feed children in almost 100,000 schools across the United States. Its first function is to provide a nutritious lunch to all students; the second is to provide nutritious food at both breakfast and lunch to underprivileged children. If anything, the role of school food service as a replacement for what was once a family function has been expanded",1,The increase in the number of working women boosted the expansion of food service programs.,The US government began to feed poor children during the Great Depression despite the food shortage.,The US school food service system presently helps to feed children of poor families.,The function of providing lunch has been shifted from the family to schools.,null,2,The US government began to feed poor children during the Great Depression despite the food shortage. → 본문과 불일치,now()
160,202004,ENG,20,"전통문화의 모든 저작자·발명가·과학기술자와 헌법에. 있을 확정될 의하여. 정하는 국가는 법률로써 국가는 진다.. 국가는 범죄에 한다.. 국가는 신체의 보장하기 국가는. 같은 무죄로 침해받지 보장하기 바에 예술가의 이상의 장기 모든 보호한다.. 법률이 바에 승인된 청구할 의하여 의하여 한다.. 확정될 승인된 범죄에 국가는 사생활의. 대하여 효력을 사후에 행위로 한다. 추정된다. 유죄의 법률로써 의무교육은. 한다. 법률로써 노력하여야. 예술가의 염려가 전통문화의 아니하며, 의하여 국가는 보호한다. 진다. 영장을. 권리는 국민은 무죄로. 모든 국내법과 국가는 의하여 때에는 보호를 소추되지 자유를 국가는.",1,programs,청구할 기능을 가진다. 국가는 자유를 경우와.,동일한 승인된 해당하는.,때까지는 추정된다. 의하여 판결이 보호한다. 국민은 아니한다..,null,4,(B)의 내용을 받아 역접의 but을 써주며 (C) 에선 “그러나 이에 대한 댓가가 따른다(come at a price)”로 이어지며 (C)에선 obsessed user(과도하게 집착하는 사 용자들)에 대한 예시를 들어준다 (C)의 obsessed를 (A)의 this addiction(이 중독)으로 받아 이어지는 것이 자연스럽다,now()
161,202001,MAT,1,"두 집합 A={a+2, 6}, B={3, b-1}에 대하여 A = B 일 때, a+b의 값은? (단, a, b는 실수이다.)",1,5,6,7,8,9,4,×  ×    ,now()
162,202001,MAT,2,×의값은?,1,1,2,4,8,16,2,"a+2 =3 에서 a=1, b-1 =6 에서 b=7, 따라서 a+b=1+7 = 8",now()
163,202001,MAT,3,"그림은 두 함수 →, →를 나타낸 것이다. ∘의 값은? ",1,1,3,5,7,9,5, ∘       ,now()
164,202001,MAT,4,"실수 에 대한 두 조건   ,    에 대하여 가 이기 위한 충분조건이 되도록 하는 양수 의 값은? 
",1,1,2,3,4,5,4,조건 를 만족시키는 의 값이 조건  도 만족시켜야 하므로    ,now()
165,202001,MAT,5,"함수 값은? (단, ≠) ",1,2,4,6,8,10,3,에서 이므로    따라서  ,now()
166,202001,MAT,6,함수 의 그래프가 그림과 같다. lim  lim 의 값은? ,1,-2,-1,0,1,2,1,"주어진 그래프에서 lim, lim →  →  이므로 lim lim ",now()
167,202001,MAT,7,"함수 의 역함수의 그래프와 직선       가 서로 다른 두 점에서 만나도록 하는 실수 의 최솟값은? 
",1,1,3,5,7,9,3,함수 의 역함수는 이 므로 함수 의 역함수의 그래프와 직선 가 서로 다른 두 점에서 만나기 위한 필요충분조건은 함수 의 그래프와 직선 가 서로 다른 두 점에서 만나 는 것이다. ,now()
168,202001,MAT,8,함수  에 대하여 lim   의 값은? ,1,6,7,8,9,10,4, ,now()
169,202001,MAT,9,"함수    이 와 에서 극대일 때, 의 값은? (단, , 는 , 인 상수이다.) ",1,3,5,7,9,11,1,×이므로 이므로 따라서  ,now()
170,202001,MAT,10,"상수항과 계수가 모두 정수인 두 다항함수 , 가 다음 조건을 만족시킬 때, 의 최댓값은? ",1,4,6,8,10,12,3,"조건 (가), (나)에 의하여  (는 상수) 로놓을수있다.조건 (나)에 의하여   이므로 이때 가 최대가 되는 는 이므로 구하는 최댓값은 ",now()
171,202001,MAT,11,"두 집합 A={a+2, 6}, B={3, b-1}에 대하여 A = B 일 때, a+b의 값은? (단, a, b는 실수이다.)",1,5,6,7,8,9,4,×  ×    ,now()
172,202001,MAT,12,×의값은?,1,1,2,4,8,16,2,"a+2 =3 에서 a=1, b-1 =6 에서 b=7, 따라서 a+b=1+7 = 8",now()
173,202001,MAT,13,"그림은 두 함수 →, →를 나타낸 것이다. ∘의 값은? ",1,1,3,5,7,9,5, ∘       ,now()
174,202001,MAT,14,"실수 에 대한 두 조건   ,    에 대하여 가 이기 위한 충분조건이 되도록 하는 양수 의 값은? 
",1,1,2,3,4,5,4,조건 를 만족시키는 의 값이 조건  도 만족시켜야 하므로    ,now()
175,202001,MAT,15,"함수 값은? (단, ≠) ",1,2,4,6,8,10,3,에서 이므로    따라서  ,now()
176,202001,MAT,16,함수 의 그래프가 그림과 같다. lim  lim 의 값은? ,1,-2,-1,0,1,2,1,"주어진 그래프에서 lim, lim →  →  이므로 lim lim ",now()
177,202001,MAT,17,"함수 의 역함수의 그래프와 직선       가 서로 다른 두 점에서 만나도록 하는 실수 의 최솟값은? 
",1,1,3,5,7,9,3,함수 의 역함수는 이 므로 함수 의 역함수의 그래프와 직선 가 서로 다른 두 점에서 만나기 위한 필요충분조건은 함수 의 그래프와 직선 가 서로 다른 두 점에서 만나 는 것이다. ,now()
178,202001,MAT,18,함수  에 대하여 lim   의 값은? ,1,6,7,8,9,10,4, ,now()
179,202001,MAT,19,"함수    이 와 에서 극대일 때, 의 값은? (단, , 는 , 인 상수이다.) ",1,3,5,7,9,11,1,×이므로 이므로 따라서  ,now()
180,202001,MAT,20,"상수항과 계수가 모두 정수인 두 다항함수 , 가 다음 조건을 만족시킬 때, 의 최댓값은? ",1,4,6,8,10,12,3,"조건 (가), (나)에 의하여  (는 상수) 로놓을수있다.조건 (나)에 의하여   이므로 이때 가 최대가 되는 는 이므로 구하는 최댓값은 ",now()
181,202002,MAT,1,"두 집합 A={a+2, 6}, B={3, b-1}에 대하여 A = B 일 때, a+b의 값은? (단, a, b는 실수이다.)",1,5,6,7,8,9,4,×  ×    ,now()
182,202002,MAT,2,×의값은?,1,1,2,4,8,16,2,"a+2 =3 에서 a=1, b-1 =6 에서 b=7, 따라서 a+b=1+7 = 8",now()
183,202002,MAT,3,"그림은 두 함수 →, →를 나타낸 것이다. ∘의 값은? ",1,1,3,5,7,9,5, ∘       ,now()
184,202002,MAT,4,"실수 에 대한 두 조건   ,    에 대하여 가 이기 위한 충분조건이 되도록 하는 양수 의 값은? 
",1,1,2,3,4,5,4,조건 를 만족시키는 의 값이 조건  도 만족시켜야 하므로    ,now()
185,202002,MAT,5,"함수 값은? (단, ≠) ",1,2,4,6,8,10,3,에서 이므로    따라서  ,now()
186,202002,MAT,6,함수 의 그래프가 그림과 같다. lim  lim 의 값은? ,1,-2,-1,0,1,2,1,"주어진 그래프에서 lim, lim →  →  이므로 lim lim ",now()
187,202002,MAT,7,"함수 의 역함수의 그래프와 직선       가 서로 다른 두 점에서 만나도록 하는 실수 의 최솟값은? 
",1,1,3,5,7,9,3,함수 의 역함수는 이 므로 함수 의 역함수의 그래프와 직선 가 서로 다른 두 점에서 만나기 위한 필요충분조건은 함수 의 그래프와 직선 가 서로 다른 두 점에서 만나 는 것이다. ,now()
188,202002,MAT,8,함수  에 대하여 lim   의 값은? ,1,6,7,8,9,10,4, ,now()
189,202002,MAT,9,"함수    이 와 에서 극대일 때, 의 값은? (단, , 는 , 인 상수이다.) ",1,3,5,7,9,11,1,×이므로 이므로 따라서  ,now()
190,202002,MAT,10,"상수항과 계수가 모두 정수인 두 다항함수 , 가 다음 조건을 만족시킬 때, 의 최댓값은? ",1,4,6,8,10,12,3,"조건 (가), (나)에 의하여  (는 상수) 로놓을수있다.조건 (나)에 의하여   이므로 이때 가 최대가 되는 는 이므로 구하는 최댓값은 ",now()
191,202002,MAT,11,"두 집합 A={a+2, 6}, B={3, b-1}에 대하여 A = B 일 때, a+b의 값은? (단, a, b는 실수이다.)",1,5,6,7,8,9,4,×  ×    ,now()
192,202002,MAT,12,×의값은?,1,1,2,4,8,16,2,"a+2 =3 에서 a=1, b-1 =6 에서 b=7, 따라서 a+b=1+7 = 8",now()
193,202002,MAT,13,"그림은 두 함수 →, →를 나타낸 것이다. ∘의 값은? ",1,1,3,5,7,9,5, ∘       ,now()
194,202002,MAT,14,"실수 에 대한 두 조건   ,    에 대하여 가 이기 위한 충분조건이 되도록 하는 양수 의 값은? 
",1,1,2,3,4,5,4,조건 를 만족시키는 의 값이 조건  도 만족시켜야 하므로    ,now()
195,202002,MAT,15,"함수 값은? (단, ≠) ",1,2,4,6,8,10,3,에서 이므로    따라서  ,now()
196,202002,MAT,16,함수 의 그래프가 그림과 같다. lim  lim 의 값은? ,1,-2,-1,0,1,2,1,"주어진 그래프에서 lim, lim →  →  이므로 lim lim ",now()
197,202002,MAT,17,"함수 의 역함수의 그래프와 직선       가 서로 다른 두 점에서 만나도록 하는 실수 의 최솟값은? 
",1,1,3,5,7,9,3,함수 의 역함수는 이 므로 함수 의 역함수의 그래프와 직선 가 서로 다른 두 점에서 만나기 위한 필요충분조건은 함수 의 그래프와 직선 가 서로 다른 두 점에서 만나 는 것이다. ,now()
198,202002,MAT,18,함수  에 대하여 lim   의 값은? ,1,6,7,8,9,10,4, ,now()
199,202002,MAT,19,"함수    이 와 에서 극대일 때, 의 값은? (단, , 는 , 인 상수이다.) ",1,3,5,7,9,11,1,×이므로 이므로 따라서  ,now()
200,202002,MAT,20,"상수항과 계수가 모두 정수인 두 다항함수 , 가 다음 조건을 만족시킬 때, 의 최댓값은? ",1,4,6,8,10,12,3,"조건 (가), (나)에 의하여  (는 상수) 로놓을수있다.조건 (나)에 의하여   이므로 이때 가 최대가 되는 는 이므로 구하는 최댓값은 ",now()
201,202003,MAT,1,"두 집합 A={a+2, 6}, B={3, b-1}에 대하여 A = B 일 때, a+b의 값은? (단, a, b는 실수이다.)",1,5,6,7,8,9,4,×  ×    ,now()
202,202003,MAT,2,×의값은?,1,1,2,4,8,16,2,"a+2 =3 에서 a=1, b-1 =6 에서 b=7, 따라서 a+b=1+7 = 8",now()
203,202003,MAT,3,"그림은 두 함수 →, →를 나타낸 것이다. ∘의 값은? ",1,1,3,5,7,9,5, ∘       ,now()
204,202003,MAT,4,"실수 에 대한 두 조건   ,    에 대하여 가 이기 위한 충분조건이 되도록 하는 양수 의 값은? 
",1,1,2,3,4,5,4,조건 를 만족시키는 의 값이 조건  도 만족시켜야 하므로    ,now()
205,202003,MAT,5,"함수 값은? (단, ≠) ",1,2,4,6,8,10,3,에서 이므로    따라서  ,now()
206,202003,MAT,6,함수 의 그래프가 그림과 같다. lim  lim 의 값은? ,1,-2,-1,0,1,2,1,"주어진 그래프에서 lim, lim →  →  이므로 lim lim ",now()
207,202003,MAT,7,"함수 의 역함수의 그래프와 직선       가 서로 다른 두 점에서 만나도록 하는 실수 의 최솟값은? 
",1,1,3,5,7,9,3,함수 의 역함수는 이 므로 함수 의 역함수의 그래프와 직선 가 서로 다른 두 점에서 만나기 위한 필요충분조건은 함수 의 그래프와 직선 가 서로 다른 두 점에서 만나 는 것이다. ,now()
208,202003,MAT,8,함수  에 대하여 lim   의 값은? ,1,6,7,8,9,10,4, ,now()
209,202003,MAT,9,"함수    이 와 에서 극대일 때, 의 값은? (단, , 는 , 인 상수이다.) ",1,3,5,7,9,11,1,×이므로 이므로 따라서  ,now()
210,202003,MAT,10,"상수항과 계수가 모두 정수인 두 다항함수 , 가 다음 조건을 만족시킬 때, 의 최댓값은? ",1,4,6,8,10,12,3,"조건 (가), (나)에 의하여  (는 상수) 로놓을수있다.조건 (나)에 의하여   이므로 이때 가 최대가 되는 는 이므로 구하는 최댓값은 ",now()
211,202003,MAT,11,"두 집합 A={a+2, 6}, B={3, b-1}에 대하여 A = B 일 때, a+b의 값은? (단, a, b는 실수이다.)",1,5,6,7,8,9,4,×  ×    ,now()
212,202003,MAT,12,×의값은?,1,1,2,4,8,16,2,"a+2 =3 에서 a=1, b-1 =6 에서 b=7, 따라서 a+b=1+7 = 8",now()
213,202003,MAT,13,"그림은 두 함수 →, →를 나타낸 것이다. ∘의 값은? ",1,1,3,5,7,9,5, ∘       ,now()
214,202003,MAT,14,"실수 에 대한 두 조건   ,    에 대하여 가 이기 위한 충분조건이 되도록 하는 양수 의 값은? 
",1,1,2,3,4,5,4,조건 를 만족시키는 의 값이 조건  도 만족시켜야 하므로    ,now()
215,202003,MAT,15,"함수 값은? (단, ≠) ",1,2,4,6,8,10,3,에서 이므로    따라서  ,now()
216,202003,MAT,16,함수 의 그래프가 그림과 같다. lim  lim 의 값은? ,1,-2,-1,0,1,2,1,"주어진 그래프에서 lim, lim →  →  이므로 lim lim ",now()
217,202003,MAT,17,"함수 의 역함수의 그래프와 직선       가 서로 다른 두 점에서 만나도록 하는 실수 의 최솟값은? 
",1,1,3,5,7,9,3,함수 의 역함수는 이 므로 함수 의 역함수의 그래프와 직선 가 서로 다른 두 점에서 만나기 위한 필요충분조건은 함수 의 그래프와 직선 가 서로 다른 두 점에서 만나 는 것이다. ,now()
218,202003,MAT,18,함수  에 대하여 lim   의 값은? ,1,6,7,8,9,10,4, ,now()
219,202003,MAT,19,"함수    이 와 에서 극대일 때, 의 값은? (단, , 는 , 인 상수이다.) ",1,3,5,7,9,11,1,×이므로 이므로 따라서  ,now()
220,202003,MAT,20,"상수항과 계수가 모두 정수인 두 다항함수 , 가 다음 조건을 만족시킬 때, 의 최댓값은? ",1,4,6,8,10,12,3,"조건 (가), (나)에 의하여  (는 상수) 로놓을수있다.조건 (나)에 의하여   이므로 이때 가 최대가 되는 는 이므로 구하는 최댓값은 ",now()
221,202004,MAT,1,"두 집합 A={a+2, 6}, B={3, b-1}에 대하여 A = B 일 때, a+b의 값은? (단, a, b는 실수이다.)",1,5,6,7,8,9,4,×  ×    ,now()
222,202004,MAT,2,×의값은?,1,1,2,4,8,16,2,"a+2 =3 에서 a=1, b-1 =6 에서 b=7, 따라서 a+b=1+7 = 8",now()
223,202004,MAT,3,"그림은 두 함수 →, →를 나타낸 것이다. ∘의 값은? ",1,1,3,5,7,9,5, ∘       ,now()
224,202004,MAT,4,"실수 에 대한 두 조건   ,    에 대하여 가 이기 위한 충분조건이 되도록 하는 양수 의 값은? 
",1,1,2,3,4,5,4,조건 를 만족시키는 의 값이 조건  도 만족시켜야 하므로    ,now()
225,202004,MAT,5,"함수 값은? (단, ≠) ",1,2,4,6,8,10,3,에서 이므로    따라서  ,now()
226,202004,MAT,6,함수 의 그래프가 그림과 같다. lim  lim 의 값은? ,1,-2,-1,0,1,2,1,"주어진 그래프에서 lim, lim →  →  이므로 lim lim ",now()
227,202004,MAT,7,"함수 의 역함수의 그래프와 직선       가 서로 다른 두 점에서 만나도록 하는 실수 의 최솟값은? 
",1,1,3,5,7,9,3,함수 의 역함수는 이 므로 함수 의 역함수의 그래프와 직선 가 서로 다른 두 점에서 만나기 위한 필요충분조건은 함수 의 그래프와 직선 가 서로 다른 두 점에서 만나 는 것이다. ,now()
228,202004,MAT,8,함수  에 대하여 lim   의 값은? ,1,6,7,8,9,10,4, ,now()
229,202004,MAT,9,"함수    이 와 에서 극대일 때, 의 값은? (단, , 는 , 인 상수이다.) ",1,3,5,7,9,11,1,×이므로 이므로 따라서  ,now()
230,202004,MAT,10,"상수항과 계수가 모두 정수인 두 다항함수 , 가 다음 조건을 만족시킬 때, 의 최댓값은? ",1,4,6,8,10,12,3,"조건 (가), (나)에 의하여  (는 상수) 로놓을수있다.조건 (나)에 의하여   이므로 이때 가 최대가 되는 는 이므로 구하는 최댓값은 ",now()
231,202004,MAT,11,"두 집합 A={a+2, 6}, B={3, b-1}에 대하여 A = B 일 때, a+b의 값은? (단, a, b는 실수이다.)",1,5,6,7,8,9,4,×  ×    ,now()
232,202004,MAT,12,×의값은?,1,1,2,4,8,16,2,"a+2 =3 에서 a=1, b-1 =6 에서 b=7, 따라서 a+b=1+7 = 8",now()
233,202004,MAT,13,"그림은 두 함수 →, →를 나타낸 것이다. ∘의 값은? ",1,1,3,5,7,9,5, ∘       ,now()
234,202004,MAT,14,"실수 에 대한 두 조건   ,    에 대하여 가 이기 위한 충분조건이 되도록 하는 양수 의 값은? 
",1,1,2,3,4,5,4,조건 를 만족시키는 의 값이 조건  도 만족시켜야 하므로    ,now()
235,202004,MAT,15,"함수 값은? (단, ≠) ",1,2,4,6,8,10,3,에서 이므로    따라서  ,now()
236,202004,MAT,16,함수 의 그래프가 그림과 같다. lim  lim 의 값은? ,1,-2,-1,0,1,2,1,"주어진 그래프에서 lim, lim →  →  이므로 lim lim ",now()
237,202004,MAT,17,"함수 의 역함수의 그래프와 직선       가 서로 다른 두 점에서 만나도록 하는 실수 의 최솟값은? 
",1,1,3,5,7,9,3,함수 의 역함수는 이 므로 함수 의 역함수의 그래프와 직선 가 서로 다른 두 점에서 만나기 위한 필요충분조건은 함수 의 그래프와 직선 가 서로 다른 두 점에서 만나 는 것이다. ,now()
238,202004,MAT,18,함수  에 대하여 lim   의 값은? ,1,6,7,8,9,10,4, ,now()
239,202004,MAT,19,"함수    이 와 에서 극대일 때, 의 값은? (단, , 는 , 인 상수이다.) ",1,3,5,7,9,11,1,×이므로 이므로 따라서  ,now()
240,202004,MAT,20,"상수항과 계수가 모두 정수인 두 다항함수 , 가 다음 조건을 만족시킬 때, 의 최댓값은? ",1,4,6,8,10,12,3,"조건 (가), (나)에 의하여  (는 상수) 로놓을수있다.조건 (나)에 의하여   이므로 이때 가 최대가 되는 는 이므로 구하는 최댓값은 ",now()
241,202001,PHL,1,"갑, 을, 병의 입장에 대한 옳은 설명만을 <보기>에서 있는 대로 고른 것은?",1,"ㄱ, ㄴ","ㄱ, ㄷ","ㄷ, ㄹ","ㄱ, ㄴ, ㄹ","ㄴ, ㄷ, ㄹ",5,"갑은 윤리적 진술은 감정의 표현일 뿐이라고 보는 입장이고, 을은 이론 규범 윤리학의 입장이며, 병은 실천 규범 윤리학의 입장이다. ㄴ. 이론 규범 윤리학 은 도덕 판단의 준거와 행위의 정당성을 확보하는 법칙이 있다고 본다. ㄷ. 실천 규 범 윤리학은 현실적인 도덕 문제들을 해결하기 위해서는 다양한 학문 분야의 전문 적 지식과 기술이 필요하다고 본다. ㄹ. 이론 규범 윤리학과 실천 규범 윤리학은 규 범 윤리학이기 때문에 도덕규범의 필요성을 중시한다. ",now()
242,202001,PHL,2,"갑은 부정, 을은 긍정의 대답을 할 질문으로 옳은 것은?",1,유전자에 대한 어떠한 인위적인 개입도 금지되어야 하는가?,부모는 자녀 출산에 있어 자유로운 선택이 가능해야 하는가?,부모는 유전자 개량을 통해 미래 세대의 삶을 기획해야 하는가?,미래 세대의 능력 향상을 위한 우생학적 조치를 허용해야 하는가?,유전자 조작을 통해 개량된 미래 세대는 자유를 박탈당하는가?,5,"갑은 치료 목적뿐만 아니라 유전자 개량을 위한 유전자 조작도 허용되 어야 한다는 입장이고, 을은 치료 목적의 유전자 실험이나 조작은 허용되어야 하지 만, 유전자 개량을 위한 유전자 조작은 반대하는 입장이다. 을이 유전자 개량을 위 한 유전자 조작에 반대하는 이유는 유전자 조작을 통한 생명은 그 생명이 살고자 하는 삶을 선택하는 자유가 박탈되는 것이라고 보기 때문이다. ",now()
243,202001,PHL,3,"다음 사상가의 입장만을 <보기>에서 있는 대로 고른 것은? ㄱ. 사랑은 사랑하는 사람의 성장에 관심을 갖는 것이다. ㄴ. 사랑은 상대방이 지닌 고유한 개성을 존중하는 것이다. ㄷ. 사랑은 서로가 서로를 소유 대상으로 인정하는 것이다. ㄹ. 사랑은 상대의 요구에 자발적으로 책임을 느끼는 것이다. ",1,"ㄱ, ㄴ","ㄴ, ㄷ","ㄷ, ㄹ","ㄱ, ㄴ, ㄹ","ㄱ, ㄷ, ㄹ",4,"제시문은 에리히 프롬의 주장이다. 그는 “사랑의 기술”에서 사랑의 속 성을 보호, 책임, 존경, 이해라고 설명한다. 보호는 사랑하는 사람의 생명과 성장에 적극적인 관심을 가지고 보호하는 것, 책임은 상대의 요구에 책임 있게 응답할 준 비가 되어 있는 것, 존경은 두려움이나 외경(畏敬), 지배나 소유가 아닌 상대의 있 는 그대로의 모습을 보고 독특한 개성을 아는 것, 이해는 나 자신에 대한 관심을 초월해 상대를 그의 입장에서 깊이 있게 이해하는 것이다. ",now()
244,202001,PHL,4,강연자가 지지할 주장으로 적절하지 않은 것은?,1,사회적 자본은 시민의 청렴성과 연대의식을 함께 강화시킨다.,사회 구성원 간 갈등 차단이 사회적 자본 형성의 선결 조건이다.,시민의 참여의식이 높아질수록 사회 제도 개혁은 용이해진다, 사회적 자본의 축적은 정치적∙경제적 효율성 증진에 기여한다.,처벌보다 자율적 규범의 내면화가 부패 방지에 더 효과적이다.,2,"그림의 강연자는 미국의 사회학자 퍼트넘이다. 퍼트넘은 부패를 방지하 거나 감소시키기 위해서는 법적 제재뿐만 아니라 사회적 자본이 필요하다고 본다. 2 사회적 자본은 사회 구성원이 공동의 문제를 해결하는 데 적극적으로 참여하는 사 회적 조건이나 특성을 의미한다. 사회적 자본의 대표적인 지표로는 신뢰, 청렴, 규 범, 관용 등이 있다. 퍼트넘은 사회 구성원들에 의해 사회적 자본이 축적되면 될수 록 사회 갈등과 부패는 감소하고 생산성과 경쟁력은 강화되며, 사회적 자본의 감소 는 사회의 안정과 발전에 부정적인 영향을 준다고 주장한다.",now()
245,202001,PHL,5,"(가), (나) 사상의 입장에 대한 설명으로 가장 적절한 것은?  (가)  하늘은 아버지요, 땅은 어머니이다. 나는 미미한 존재로 그 가운데 살고 있다. 나는 천지의 기운[氣]을 나의 몸으로, 천지의 이치[]를 나의 본성으로 여긴다. (나)이것이 있으면 저것이 있고, 이것이 없으면 저것이 없다. 이것이 생겨나는[生] 까닭에 저것이 생겨나고, 이것이 사멸하는[滅] 까닭에 저것이 사멸한다.",1, (가)는 만물이 지닌 생명력을 천도(天道)의 도덕적 표현으로 본다,(나)는 만물의 변화는 물질적 요소의 이합집산일 뿐이라고 본다., (가)는 (나)와 달리 천지를 가치중립적인 물리적 대상으로 본다.,(나)는 (가)와 달리 천지를 질서가 없는 무위(無爲) 체계로 본다.," (가), (나)는 만물을 연기(緣起)에 의한 상호 의존적 존재로 본다.",1,"(가)는 유교이고, (나)는 불교이다. 유교에서는 자연의 생명력을 만물 의 근원이며 원리인 도(道)의 도덕적 표현으로 이해한다. 불교에서는 모든 존재는 서로서로 영향을 주고받는다는 연기설을 토대로 만물의 상호 의존성을 강조한다. 상호 의존성에 따르면 자연의 한 존재가 나머지 존재를 정복하거나 지배하려는 것 은 자연의 원리에 어긋나는 폭력이라고 할 수 있다. ",now()
246,202001,PHL,6,"사상가의 입장만을 <보기>에서 있는 대로 고른 것은? ㄱ. 올바른 정치적 도덕성은 합리적인 사회 강제력을 권고한다. ㄴ. 집단 간의 관계는 정치적인 힘의 비율에 의해 수립된다. ㄷ. 집단의 도덕성은 집단 내 구성원들의 도덕성에 비례한다. ㄹ. 집단 간 세력 불균형은 사회 갈등과 부정의를 지속시킨다.",1,"ㄱ, ㄷ","ㄴ, ㄹ","ㄷ, ㄹ","ㄱ, ㄴ, ㄷ","ㄱ, ㄴ, ㄹ",5,"제시문은 니부어의 주장이다. 개인 윤리가 개인 간의 관계에서 권리와 의무를 강조하는 것이라면, 사회 윤리는 사회와 개인의 관계에서 요청되는 권리와 의무, 그리고 사회와 개인의 관계를 강조한다. 그래서 사회 윤리는 사회적으로 확대 된 규범, 제도, 그리고 사회 체계에 관한 윤리라고 할 수 있다. 즉, 사회 윤리는 사 회 구조나 제도가 갖는 윤리적 문제에 관심을 두고 개인적 차원을 넘어서는 구조적 인 해결책을 모색한다. 그렇지만 개인 윤리와 사회 윤리가 항상 갈등 관계에 있는 것은 아니며, 상호 보완적인 관계를 지향해야 하는 것이다.",now()
247,202001,PHL,7,다음 글은 신문 칼럼이다. ㉠에 들어갈 내용으로 가장 적절한 것은?,1,의견 수렴 매체의 단일화로 여론 통제가 용이하기 때문이다.,시민의 의사소통 감소로 소모적 갈등이 해소되기 때문이다.,공적 영역에 대한 시민의 관심과 참여가 확대되기 때문이다.,국가의 간섭으로부터 개인의 사적 영역이 보호되기 때문이다,정부가 시민을 대신해 효율적으로 정책을 결정하기 때문이다,3,"언론의 자유는 언론의 본질적 기능 수행을 위한 전제이다. 언론의 자유 는 인간의 자유로운 의사 표현을 통해 자신의 존엄과 가치를 구현할 수 있게 한다 는 점에서 민주 사회에 필수적이다. 또한 언론의 자유는 권력의 감시와 비판을 위 한 필요조건이며, 시민들이 사회적 토론과 결정에 참여할 수 있는 통로 역할을 하 여 사회의 안정과 발전에 이바지한다. ",now()
248,202001,PHL,8,"갑, 을 사상가들의 입장에 대한 설명으로 옳지 않은 것은?",1,갑은 재화에 대한 욕망을 인정하는 동시에 절제할 것을 강조한다,을은 금욕적인 생활 태도를 바탕으로 한 직업 생활을 강조한다.,갑은 을과 달리 인위적 규범에 따른 직분의 구별을 주장한다. ,을은 갑과 달리 부의 축적이 직업의 궁극적 목적이라고 주장한다.,"갑, 을은 각자의 직분에 충실할 때 사회 질서가 유지됨을 주장한다.",4,"갑은 순자이고, 을은 칼뱅이다. 순자는 인간의 욕망을 긍정하면서도 그 것을 적절하게 절제할 필요성이 있다고 보고, 예(禮)를 통해 절제할 것을 주장한다. 예는 각 사람의 적성과 능력에 따른 사회적 역할 분담의 문제를 해결하는데 이바지 한다고 보았다. 칼뱅은 직업은 이웃 사랑을 실천할 수 있는 터전이며, 창조주의 노 동에 참여하는 것이라고 보았다. 특히 직업을 신의 부르심이라는 소명으로 이해하 였는데, 소명의 개념은 직업의 사회적 책임성으로 발전한다. ",now()
249,202001,PHL,9,"갑, 을의 입장에 대한 설명으로 옳지 않은 것은?",1,갑은 경제력 차이에 따라 정보 격차가 발생할 수 있다고 본다.,을은 경제적 약자를 위해 정보 복지를 실현해야 한다고 본다.,"갑은 생산된 정보를 사유 재산으로, 을은 공유 자산으로 본다.","갑, 을은 정보 생산자에 대한 경제적 보상이 필요하다고 본다.","갑, 을은 정보 생산자의 지적 재산권을 보호해야 한다고 본다.",3,"갑, 을은 모두 정보의 사적 소유, 정보 생산자의 소유권을 인정하는 입 장이다. 하지만 정보에 대한 접근성 즉, 정보 격차를 해소하는 방식에 대해서는 입 장 차이가 있다. 갑은 정보 격차가 발생할지라도 정보 생산자의 소유권은 보장되어 야 한다고 주장하는 반면, 을은 생산자의 소유권을 보장하되 경제적 약자도 정보에 접근하고 이용할 수 있도록 사회적으로 지원해야 한다고 강조한다. ",now()
